feature,importance
country_encoded,738
adr_lead_interaction,369
lead_time,331
arrival_date_year,297
arrival_date_week_number,297
market_segment_encoded,287
adr_per_guest,272
adr,269
arrival_date_day_of_month,229
customer_type_encoded,201
total_revenue,182
revenue_per_guest,169
total_of_special_requests,156
lead_time_bucket,121
stays_in_week_nights,116
hotel_encoded,111
distribution_channel_encoded,105
meal_encoded,104
lead_deposit_interaction,103
arrival_month_num,101
assigned_room_type_encoded,98
cancellation_ratio,96
booking_changes,95
deposit_type_encoded,94
required_car_parking_spaces,84
has_special_requests,82
total_nights,76
weekend_ratio,66
room_mismatch,65
previous_bookings_not_canceled,63
stays_in_weekend_nights,62
reserved_room_type_encoded,62
season,61
stay_duration_cat,57
price_category,46
adults,42
has_changes,41
quarter,39
is_peak_season,37
is_repeated_guest,25
children,25
previous_cancellations,24
total_guests,24
guest_type,21
days_in_waiting_list,21
no_deposit,10
has_children,8
requests_repeat_interaction,3
babies,2
has_prev_cancellation,2
high_modifications,2
long_lead_time,1
was_on_waitlist,0
