feature,importance
country_encoded,0.09618380334861927
no_deposit,0.08694993305953923
deposit_type_encoded,0.079548055633536
market_segment_encoded,0.07297439154086346
adr_lead_interaction,0.061252175793291994
lead_deposit_interaction,0.05450083880326476
room_mismatch,0.04859564789422745
lead_time_bucket,0.04848623922847942
has_special_requests,0.041641105278383286
lead_time,0.040461332744559785
total_of_special_requests,0.03539894748441805
customer_type_encoded,0.031840140602553774
required_car_parking_spaces,0.02964346161099417
cancellation_ratio,0.019737446792003104
arrival_date_year,0.018163835215744818
adr,0.016685783178248165
has_changes,0.01499125467498794
previous_cancellations,0.01397038459561607
has_prev_cancellation,0.01390713279394763
adr_per_guest,0.013764634478985422
booking_changes,0.013624063832494976
total_revenue,0.011325988127840905
arrival_date_week_number,0.010801850642580114
assigned_room_type_encoded,0.009992164072757576
revenue_per_guest,0.00995360298432434
price_category,0.009696425150569834
distribution_channel_encoded,0.009130070230514079
total_nights,0.008895045075431655
arrival_month_num,0.007439202683145747
arrival_date_day_of_month,0.007222239913304613
hotel_encoded,0.0063239613225577725
stays_in_week_nights,0.006048273356996913
meal_encoded,0.005153161310002971
stay_duration_cat,0.00491044253335346
weekend_ratio,0.004243817686622494
season,0.004200661559830082
long_lead_time,0.004152440411107457
reserved_room_type_encoded,0.003871770649133758
quarter,0.0038567518276932636
stays_in_weekend_nights,0.0037982951910304555
total_guests,0.003379856277580252
adults,0.002869304416722183
previous_bookings_not_canceled,0.002856035545054716
guest_type,0.0023231463916041704
is_peak_season,0.0014473624494536902
days_in_waiting_list,0.0009048723040913845
children,0.0007573253838524068
is_repeated_guest,0.000724155112207168
has_children,0.0003971589153717177
was_on_waitlist,0.00039075186962766654
requests_repeat_interaction,0.00032503918092560946
high_modifications,0.00021967408108626408
babies,6.854475886630756e-05
