feature,importance
no_deposit,0.38093734
deposit_type_encoded,0.09657674
room_mismatch,0.088169254
required_car_parking_spaces,0.05746022
has_special_requests,0.04606521
lead_time_bucket,0.0362736
cancellation_ratio,0.027621707
market_segment_encoded,0.021958705
has_changes,0.021270625
country_encoded,0.01781676
customer_type_encoded,0.015960077
price_category,0.012370093
arrival_date_year,0.011953291
total_of_special_requests,0.0106108785
adr_lead_interaction,0.010252674
quarter,0.008128277
distribution_channel_encoded,0.0074434364
previous_cancellations,0.007085263
lead_deposit_interaction,0.006978485
days_in_waiting_list,0.0069235293
stay_duration_cat,0.0068939296
stays_in_week_nights,0.0066224257
hotel_encoded,0.006133157
arrival_month_num,0.0061064768
stays_in_weekend_nights,0.005704117
total_nights,0.0056709377
lead_time,0.0053572985
previous_bookings_not_canceled,0.005037125
booking_changes,0.0048530633
season,0.0048191287
is_peak_season,0.0046486966
has_prev_cancellation,0.0043651466
meal_encoded,0.0039909445
adults,0.0031524464
weekend_ratio,0.002499083
adr,0.0024400437
arrival_date_week_number,0.0023870643
children,0.0023652136
assigned_room_type_encoded,0.0023412546
has_children,0.0023351712
adr_per_guest,0.002255074
is_repeated_guest,0.002246896
reserved_room_type_encoded,0.0021974398
arrival_date_day_of_month,0.0020582355
guest_type,0.0020237993
total_revenue,0.0019941404
revenue_per_guest,0.0018943301
was_on_waitlist,0.0015903647
total_guests,0.0014315714
high_modifications,0.0011083644
requests_repeat_interaction,0.0009134848
long_lead_time,0.00070725346
babies,0.0
