feature,importance
country_encoded,725
lead_time,350
adr_lead_interaction,343
arrival_date_week_number,313
adr,279
market_segment_encoded,276
arrival_date_year,271
adr_per_guest,243
arrival_date_day_of_month,212
customer_type_encoded,208
revenue_per_guest,185
total_revenue,157
total_of_special_requests,151
lead_time_bucket,140
arrival_month_num,120
assigned_room_type_encoded,120
hotel_encoded,111
stays_in_week_nights,109
meal_encoded,108
distribution_channel_encoded,108
lead_deposit_interaction,103
booking_changes,95
deposit_type_encoded,91
has_special_requests,89
cancellation_ratio,89
required_car_parking_spaces,82
weekend_ratio,79
total_nights,79
room_mismatch,65
stays_in_weekend_nights,63
previous_bookings_not_canceled,62
reserved_room_type_encoded,61
stay_duration_cat,59
season,59
price_category,57
quarter,52
has_changes,42
adults,39
is_peak_season,33
previous_cancellations,30
days_in_waiting_list,26
guest_type,21
children,21
is_repeated_guest,19
total_guests,19
no_deposit,11
has_children,5
requests_repeat_interaction,3
was_on_waitlist,2
has_prev_cancellation,2
high_modifications,1
babies,0
long_lead_time,0
