feature,importance
country_encoded,0.09390119807857009
no_deposit,0.08836930874237775
deposit_type_encoded,0.08040647858409096
market_segment_encoded,0.07219458860258493
adr_lead_interaction,0.06228450031185212
lead_deposit_interaction,0.053811468890393704
room_mismatch,0.04916225594280457
lead_time_bucket,0.0483783830928264
has_special_requests,0.04119439130461948
lead_time,0.03995713527079031
total_of_special_requests,0.03560868856076147
customer_type_encoded,0.03180328592993395
required_car_parking_spaces,0.029817794150979054
cancellation_ratio,0.02031123828875495
arrival_date_year,0.01803516867947295
adr,0.016780497057707802
has_changes,0.014453680907337224
previous_cancellations,0.014154202532252302
booking_changes,0.0137165830608885
adr_per_guest,0.013651014125231231
has_prev_cancellation,0.013473424927958793
total_revenue,0.01143028557851948
arrival_date_week_number,0.01083740586123251
price_category,0.01016896315829175
assigned_room_type_encoded,0.010111433310237084
revenue_per_guest,0.009966566248361529
distribution_channel_encoded,0.00911252705889505
total_nights,0.00889158922114124
arrival_month_num,0.007316783532882668
arrival_date_day_of_month,0.007157077632469498
hotel_encoded,0.006496960541857043
stays_in_week_nights,0.00620303558779502
meal_encoded,0.005060999345982992
stay_duration_cat,0.0049761363545126735
long_lead_time,0.004267597911025121
season,0.004165707052380892
weekend_ratio,0.0041649571846656495
quarter,0.0038336800495367713
stays_in_weekend_nights,0.0038331555395091244
reserved_room_type_encoded,0.003705956672784805
total_guests,0.003296784987637739
previous_bookings_not_canceled,0.0030167688594416662
adults,0.00296949223352972
guest_type,0.0023636005697949673
is_peak_season,0.0014097537523012809
days_in_waiting_list,0.0008756000894046201
children,0.0008163722158831512
is_repeated_guest,0.0006967049291033019
was_on_waitlist,0.00040838334181252453
has_children,0.0003915847403595961
requests_repeat_interaction,0.0003240053167370119
high_modifications,0.00020309284438974314
babies,6.175123533518261e-05
