feature,importance
no_deposit,0.3891355
deposit_type_encoded,0.110777095
room_mismatch,0.08142202
required_car_parking_spaces,0.05819394
has_special_requests,0.041969717
lead_time_bucket,0.027004696
cancellation_ratio,0.023259511
market_segment_encoded,0.022396578
has_changes,0.021405615
country_encoded,0.016907401
total_of_special_requests,0.014576802
adr_lead_interaction,0.014143274
previous_cancellations,0.013640559
price_category,0.013200523
customer_type_encoded,0.012357451
arrival_date_year,0.010378248
distribution_channel_encoded,0.008075151
lead_deposit_interaction,0.006961501
stays_in_week_nights,0.0068036937
arrival_month_num,0.006636328
hotel_encoded,0.0063555446
days_in_waiting_list,0.006342416
total_nights,0.0060009966
quarter,0.0053574443
booking_changes,0.005353386
stays_in_weekend_nights,0.005060651
previous_bookings_not_canceled,0.0049293423
stay_duration_cat,0.004858075
season,0.0044401637
meal_encoded,0.0041766353
was_on_waitlist,0.0036632326
is_peak_season,0.0035267922
is_repeated_guest,0.0034285092
adults,0.0027943035
lead_time,0.002731706
children,0.002589752
assigned_room_type_encoded,0.0024106645
adr,0.0023900531
weekend_ratio,0.0023470898
reserved_room_type_encoded,0.002191447
total_guests,0.0021687837
arrival_date_week_number,0.002108484
high_modifications,0.0020977184
adr_per_guest,0.0020563095
guest_type,0.0020476133
arrival_date_day_of_month,0.0018131982
total_revenue,0.0018025744
revenue_per_guest,0.0016068404
has_children,0.0010899659
requests_repeat_interaction,0.00096506224
has_prev_cancellation,0.00076564617
babies,0.000670016
long_lead_time,0.00061385386
